Age,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Lng,Y/A,Y/C,Y/G,Rate,Sk,Year
30,16,16,375,546,68.7,4830,36,22,65,8.8,12.9,301.9,101.4,38,2001
25,16,16,343,547,62.7,4131,26,23,86,7.6,12,258.2,84.1,29,2001
32,16,16,314,510,61.6,3921,32,15,67,7.7,12.5,245.1,94.1,22,2001
25,16,16,312,558,55.9,3832,26,22,63,6.9,12.3,239.5,76.4,50,2001
36,16,16,361,549,65.8,3828,27,9,49,7,10.6,239.3,95.5,27,2001
31,16,16,296,523,56.6,3783,17,24,67,7.2,12.8,236.4,71.1,39,2001
29,16,16,327,568,57.6,3764,19,16,76,6.6,11.5,235.3,77.1,36,2001
27,16,16,304,525,57.9,3653,18,14,68,7,12,228.3,79.6,29,2001
31,16,16,316,504,62.7,3538,32,12,61,7,11.2,221.1,94.8,26,2001
39,16,16,294,521,56.4,3464,15,18,78,6.6,11.8,216.5,72,25,2001
33,16,16,340,559,60.8,3406,13,11,47,6.1,10,212.9,77.7,44,2001
28,15,15,264,431,61.3,3350,21,12,71,7.8,12.7,223.3,90.2,37,2001
31,15,15,289,473,61.1,3309,19,13,44,7,11.4,220.6,84.1,57,2001
30,16,16,273,450,60.7,3290,20,19,74,7.3,12.1,205.6,80.3,27,2001
25,16,16,285,493,57.8,3233,25,12,64,6.6,11.3,202.1,84.3,39,2001
29,16,15,313,581,53.9,3216,12,22,49,5.5,10.3,201,61.1,25,2001
29,16,16,266,442,60.2,3109,14,11,90,7,11.7,194.3,81.7,29,2001
24,16,16,272,454,59.9,3040,17,21,78,6.7,11.2,190,73.1,51,2001
31,14,14,265,467,56.7,3033,15,18,77,6.5,11.4,216.6,71.1,28,2001
29,15,15,293,540,54.3,2931,11,19,48,5.4,10,195.4,62,26,2001
36,14,14,223,365,61.1,2847,16,14,94,7.8,12.8,203.4,84.1,41,2001
24,15,14,264,413,63.9,2843,18,12,91,6.9,10.8,189.5,86.5,41,2001
26,15,15,275,451,61,2827,23,19,65,6.3,10.3,188.5,78.5,38,2001
38,16,16,260,441,59,2752,15,14,40,6.2,10.6,172,75.3,18,2001
24,11,11,235,366,64.2,2612,14,13,57,7.1,11.1,237.5,83.3,33,2001
27,10,9,198,341,58.1,2392,12,12,76,7,12.1,239.2,76.8,33,2001
28,15,14,198,370,53.5,2386,10,10,85,6.4,12.1,159.1,71.3,29,2001
30,14,13,228,395,57.7,2299,13,10,66,5.8,10.1,164.2,74.9,11,2001
31,12,8,178,307,58,2056,12,11,80,6.7,11.6,171.3,76.4,14,2001
26,13,12,176,321,54.8,2023,7,8,64,6.3,11.5,155.6,70.9,38,2001
28,8,8,134,216,62,1465,5,7,61,6.8,10.9,183.1,76.3,31,2001
24,8,8,90,176,51.1,1072,5,7,64,6.1,11.9,134,63,12,2001
29,6,4,73,122,59.8,1014,7,4,54,8.3,13.9,169,92,10,2001
34,4,4,92,151,60.9,906,3,10,27,6,9.8,226.5,56.9,12,2001
29,5,3,51,89,57.3,795,8,4,80,8.9,15.6,159,98.3,4,2001
21,8,2,50,113,44.2,785,2,3,52,6.9,15.7,98.1,62.7,21,2001
31,4,3,84,129,65.1,694,5,6,34,5.4,8.3,173.5,72.3,6,2001
22,8,3,53,115,46.1,671,3,1,69,5.8,12.7,83.9,69.9,21,2001
38,6,2,54,89,60.7,573,3,2,30,6.4,10.6,95.5,81.3,12,2001
25,4,3,48,98,49,529,5,5,80,5.4,11,132.3,61.1,5,2001
35,5,1,42,76,55.3,496,2,2,35,6.5,11.8,99.2,73.1,6,2001
25,4,3,45,88,51.1,494,1,3,38,5.6,11,123.5,57.7,12,2001
23,3,2,48,98,49,418,1,6,47,4.3,8.7,139.3,38.6,10,2001
29,2,2,40,66,60.6,400,2,2,58,6.1,10,200,75.3,5,2001
26,6,1,32,61,52.5,361,1,1,45,5.9,11.3,60.2,69.1,6,2001
24,4,2,26,49,53.1,314,3,5,28,6.4,12.1,78.5,53.8,5,2001
30,4,1,30,48,62.5,308,3,0,26,6.4,10.3,77,101.7,3,2001
22,1,0,15,27,55.6,221,1,0,40,8.2,14.7,221,94.8,2,2001
24,3,0,21,31,67.7,210,0,1,42,6.8,10,70,73.3,3,2001
24,1,0,15,33,45.5,201,1,2,34,6.1,13.4,201,50.2,1,2001
34,2,2,23,42,54.8,168,0,3,17,4,7.3,84,34.6,6,2001
30,3,0,7,9,77.8,154,1,1,57,17.1,22,51.3,116.2,1,2001
24,1,0,10,14,71.4,143,2,1,27,10.2,14.3,143,114,0,2001
26,3,1,17,30,56.7,133,1,3,28,4.4,7.8,44.3,39.3,3,2001
33,3,0,13,19,68.4,131,2,0,16,6.9,10.1,43.7,122.9,2,2001
25,1,0,9,17,52.9,127,1,0,44,7.5,14.1,127,96.9,1,2001
28,1,0,7,12,58.3,114,1,0,25,9.5,16.3,114,118.1,0,2001
25,2,0,10,20,50,92,1,0,24,4.6,9.2,46,79.6,1,2001
24,1,0,7,12,58.3,73,0,0,19,6.1,10.4,73,76,1,2001
27,16,14,1,2,50,60,1,1,60,30,60,3.8,95.8,0,2001
39,4,0,5,9,55.6,57,0,0,21,6.3,11.4,14.3,74.8,1,2001
28,16,0,5,14,35.7,51,0,1,16,3.6,10.2,3.2,17.3,1,2001
24,16,1,1,1,100,51,1,0,51,51,51,3.2,158.3,0,2001
29,10,0,2,3,66.7,45,0,0,28,15,22.5,4.5,109.7,0,2001
30,1,0,3,4,75,40,0,0,26,10,13.3,40,106.2,0,2001
25,16,16,1,1,100,40,0,0,40,40,40,2.5,118.7,0,2001
35,16,0,2,2,100,40,0,0,42,20,20,2.5,118.7,0,2001
30,16,16,1,1,100,39,1,0,39,39,39,2.4,158.3,0,2001
33,1,0,4,12,33.3,38,0,3,16,3.2,9.5,38,3.5,2,2001
26,2,1,5,8,62.5,37,0,0,14,4.6,7.4,18.5,73.4,1,2001
25,16,16,1,2,50,34,1,0,34,17,34,2.1,135.4,0,2001
27,2,0,4,8,50,34,0,0,18,4.3,8.5,17,61.5,2,2001
22,1,0,3,4,75,34,0,0,15,8.5,11.3,34,100,0,2001
29,11,11,1,2,50,32,1,0,32,16,32,2.9,135.4,0,2001
27,16,0,1,1,100,31,1,0,31,31,31,1.9,158.3,0,2001
24,16,16,1,1,100,29,0,0,29,29,29,1.8,118.7,0,2001
27,16,0,1,1,100,27,1,0,27,27,27,1.7,158.3,0,2001
25,15,1,1,1,100,23,0,0,23,23,23,1.5,118.7,0,2001
24,3,0,3,5,60,23,1,0,14,4.6,7.7,7.7,110.8,2,2001
31,5,0,3,3,100,22,0,0,10,7.3,7.3,4.4,97.2,2,2001
24,3,0,2,2,100,21,0,0,20,10.5,10.5,7,110.4,0,2001
30,16,16,1,1,100,21,0,0,21,21,21,1.3,118.7,0,2001
27,12,0,1,1,100,18,0,0,18,18,18,1.5,118.7,0,2001
28,16,16,1,1,100,18,1,0,18,18,18,1.1,158.3,0,2001
23,16,4,1,2,50,12,1,0,12,6,12,0.8,108.3,0,2001
35,15,0,1,1,100,9,0,0,9,9,9,0.6,104.2,0,2001
36,16,0,1,1,100,5,0,0,5,5,5,0.3,87.5,0,2001
29,12,0,0,1,0,0,0,0,0,0,0,0,39.6,0,2001
31,1,0,0,1,0,0,0,0,0,0,0,0,39.6,0,2001
27,16,16,0,1,0,0,0,1,0,0,0,0,0,0,2001
28,14,14,0,1,0,0,0,0,0,0,0,0,39.6,0,2001
35,16,0,0,2,0,0,0,0,0,0,0,0,39.6,0,2001
26,14,0,0,1,0,0,0,0,0,0,0,0,39.6,0,2001
25,16,1,0,2,0,0,0,2,0,0,0,0,0,0,2001
30,16,0,0,2,0,0,0,1,0,0,0,0,0,0,2001
29,16,16,0,1,0,0,0,0,0,0,0,0,39.6,0,2001
29,14,9,0,1,0,0,0,0,0,0,0,0,39.6,1,2001
23,16,0,0,1,0,0,0,0,0,0,0,0,39.6,0,2001
26,16,0,0,1,0,0,0,0,0,0,0,0,39.6,0,2001
23,15,1,0,1,0,0,0,0,0,0,0,0,39.6,0,2001
25,16,0,0,1,0,0,0,0,0,0,0,0,39.6,0,2001
28,15,13,0,1,0,0,0,0,0,0,0,0,39.6,0,2001
25,1,0,0,3,0,0,0,0,0,0,0,0,39.6,0,2001
25,16,16,0,1,0,0,0,0,0,0,0,0,39.6,1,2001
28,16,3,0,2,0,0,0,1,0,0,0,0,0,0,2001
30,16,16,1,1,100,-1,0,0,-1,-1,-1,-0.1,79.2,0,2001
28,16,0,1,1,100,-11,0,0,-11,-11,-11,-0.7,79.2,0,2001
37,16,16,418,618,67.6,4689,26,10,75,7.6,11.2,293.1,97.3,36,2002
30,16,16,375,610,61.5,4359,24,15,73,7.1,11.6,272.4,86,54,2002
26,16,16,392,591,66.3,4200,27,19,69,7.1,10.7,262.5,88.8,23,2002
30,16,16,335,545,61.5,4073,19,14,82,7.5,12.2,254.6,85.4,24,2002
25,16,16,333,549,60.7,3853,18,23,61,7,11.6,240.8,75.3,47,2002
25,16,16,373,601,62.1,3764,28,14,49,6.3,10.1,235.3,85.7,31,2002
32,16,16,287,470,61.1,3690,26,13,99,7.9,12.9,230.6,92.6,26,2002
33,16,16,341,551,61.9,3658,27,16,85,6.6,10.7,228.6,85.6,26,2002
26,16,16,283,528,53.6,3572,27,15,64,6.8,12.6,223.3,80.1,36,2002
29,16,16,301,492,61.2,3387,22,15,55,6.9,11.3,211.7,84,21,2002
32,16,16,328,528,62.1,3344,21,10,76,6.3,10.2,209,85.6,17,2002
23,16,16,320,526,60.8,3284,17,16,52,6.2,10.3,205.3,76.9,24,2002
27,13,13,291,436,66.7,3214,15,15,82,7.4,11,247.2,85.6,34,2002
30,14,12,294,473,62.2,3178,16,16,72,6.7,10.8,227,79.1,24,2002
26,15,12,275,399,68.9,3120,22,6,47,7.8,11.3,208,104.2,22,2002
27,16,10,267,419,63.7,3075,15,10,49,7.3,11.5,192.2,87.8,26,2002
34,13,13,281,451,62.3,3049,22,6,76,6.8,10.9,234.5,92.9,21,2002
28,16,16,284,530,53.6,2972,18,20,80,5.6,10.5,185.8,65.7,36,2002
22,15,15,231,421,54.9,2936,16,8,74,7,12.7,195.7,81.6,33,2002
25,14,14,273,443,61.6,2842,18,18,78,6.4,10.4,203,76.8,30,2002
31,15,11,234,377,62.1,2836,20,16,72,7.5,12.1,189.1,85.2,26,2002
32,15,15,245,416,58.9,2788,17,7,79,6.7,11.4,185.9,85.7,34,2002
36,14,14,223,381,58.5,2630,15,14,69,6.9,11.8,187.9,77.4,31,2002
23,16,16,233,444,52.5,2592,9,15,81,5.8,11.1,162,62.8,76,2002
24,14,12,215,429,50.1,2294,12,16,64,5.3,10.7,163.9,59.9,8,2002
26,10,10,211,361,58.4,2289,17,6,59,6.3,10.8,228.9,86,28,2002
32,11,10,165,295,55.9,2084,13,11,77,7.1,12.6,189.5,77.3,30,2002
31,11,10,179,292,61.3,2024,14,9,59,6.9,11.3,184,85.2,13,2002
31,10,8,180,314,57.3,1944,13,9,54,6.2,10.8,194.4,77.5,16,2002
25,7,7,138,214,64.5,1826,14,6,58,8.5,13.2,260.9,101.5,12,2002
